Country,IFF,VoiceAcct,PoliStabNoViolence,GovtEffect,RegQua,RuleofLaw,ContofCorrup,undp_hdi,hdi_life_exp,hdi_educ,hdi_income,vulnerable_employment,aid_percentage_gni,pop,gdppc,urban,lifeexp,Year
Thailand,24079,-0.455878526,-1.42447114,0.218354702,0.121483989,-0.260052651,-0.332013279,0.722,0.827,0.618,0.735,52.48,-0.0114149,66866834,13458.53,42.543,73.766,0
Timor-Leste,15,0.097796842,-0.56560111,-1.19323945,-1.159774542,-1.202965498,-0.803566515,0.611,0.72,0.476,0.665,71.64,8.416716,1074286,2724.748,27.389,66.796,0
Togo,169,-0.978557885,-0.165575549,-1.364273429,-0.877426922,-0.896127939,-1.032309651,0.246,0.752,0.618,0.623,47.58,3.8,6191155,1077,37,59,0
Tonga,12,-0.046901826,0.215018734,-0.344380766,-0.574568629,-0.070649169,-0.676430941,0.683,0.752,0.618,0.623,47.58,3.8,104000,2500,24,73,0
Trinidad and Tobago,1860,0.554204345,-0.141767442,0.349775583,0.57155478,-0.207649529,-0.05406221,0.782,0.796,0.712,0.843,16.06,0.0369043,1320921,28103.27,54.213,71.71,0
Tunisia,4259,-1.358337879,0.059611708,0.379744828,-0.006240557,0.119992301,-0.07915701,0.709,0.844,0.614,0.689,23.85,1.194422,10525691,9872.011,66.376,74.88,0
Turkey,18750,0.570525587,-0.11449261,0.313202083,0.449182034,0.072423071,0.125426695,0.72,0.832,0.569,0.789,34.29,0.2113788,71321406,18731.52,70.241,74.074,0
Uganda,252,-0.509125173,-0.991805792,-0.674724519,-0.192969292,-0.411506861,-0.909787476,0.487,0.555,0.477,0.436,80.1,7.225327,31411096,1819.001,18.878,56.06,0
Ukraine,3961,0.059088912,-0.302319407,-0.847769856,-0.559112489,-0.786728382,-1.071736813,0.749,0.751,0.787,0.711,17.47,0.5709432,46053331,11298.39,68.502,69.19,0
United Arab Emirates,13437.71,-0.83836776,0.919041455,0.986655533,0.443285644,0.39927873,0.906304717,0.827,0.752,0.618,0.623,47.58,3.8,8264070,62143,85,76,0
Uruguay,534,1.105794072,0.789260983,0.620693743,0.505946875,0.755774736,1.250004292,0.775,0.871,0.698,0.766,24.41,0.1656611,3349676,17948.43,94.209,76.603,0
Uzbekistan,574.5,-2.102610588,-0.950552523,-0.6308617,-1.469173312,-1.326195478,-1.276073456,0.675,0.752,0.618,0.623,47.58,3.8,27865738,2589,51,71,0
Vanuatu,24,0.505319178,1.229898453,-0.321739256,-0.679592252,0.408267707,0.338911116,0.598,0.752,0.618,0.623,47.58,3.8,215000,2499,24,72,0
Venezuela,2652,-0.737894237,-1.150037766,-0.707001507,-0.525119126,-0.491859823,-0.611198545,0.756,0.817,0.667,0.794,31.44,0.0180513,28031010,17392.39,88.057,73.116,0
VietNam,8531,-1.482638597,0.271775961,-0.250741363,-0.633366287,-0.531529665,-0.545064032,0.659,0.842,0.598,0.567,61.57,3.593452,87092250,4830.305,29.762,74.745,0
Yemen,393,-0.737894237,-1.150037766,-0.707001507,-0.525119126,-0.491859823,-0.611198545,0.502,0.696,0.319,0.57,41.74,2.334486,22516464,4359.813,31.194,65.255,0
Zambia,103,-0.300323874,0.569586158,-0.822767735,-0.542492092,-0.479686052,-0.469497651,0.517,0.525,0.524,0.503,81.57,8.523482,13215142,2917.516,38.861,54.13,0
Zimbabwe,114,-1.539210081,-1.167180896,-1.553130746,-2.080981731,-1.870020509,-1.357875228,0.458,0.438,0.516,0.425,66.8,8.767786,12526964,2082.075,33.378,48.449,0
Afghanistan,6,-1.404467344,-2.579151869,-1.480805755,-1.516528249,-1.87005806,-1.645391107,0.398,0.757,0.611,0.644,47.26,3.57,28803167,1709,24,61,1
Albania,627,0.123838224,-0.191482902,-0.278687119,0.233281955,-0.385760486,-0.531616509,0.745,0.87,0.671,0.707,55.13,3.091922,2913021,10749.49,52.163,76.562,1
Algeria,6857,-1.022330761,-1.259367585,-0.388126194,-1.104800701,-0.816793382,-0.552147269,0.721,0.845,0.626,0.708,29.22,0.1251421,35977451,10970.71,67.54,74.938,1
Angola,1308,-1.120525122,-0.226182342,-1.142090201,-1.0602175,-1.272953272,-1.332474947,0.517,0.544,0.398,0.64,66.42,0.3106087,23356247,7692.434,59.783,55.35,1
Antigua and Barbuda,28,0.495849043,0.904999375,0.487507224,0.642825544,0.952869892,1.301772714,0.782,0.757,0.611,0.644,47.26,3.57,86754,13356,25,75,1
Argentina,5528,0.361670136,-0.084797867,-0.111378528,-0.742940903,-0.598094225,-0.355230033,0.829,0.85,0.818,0.82,19.05,0.0318544,40788453,23521.27,90.849,75.278,1
Armenia,191,-0.847521544,0.071855329,-0.16639477,0.268946558,-0.48135832,-0.69503957,0.747,0.82,0.734,0.692,42.62,3.295959,2877314,9286.197,63.44,73.331,1
Aruba,79,1.281883717,1.100847363,1.246244311,-1.395898819,1.416113615,1.121295571,0.79,0.757,0.611,0.644,47.26,3.57,101484,24000,100,76,1
Azerbaijan,824,-1.30459702,-0.238546923,-0.811674297,-0.392555356,-0.891145051,-1.245373249,0.758,0.757,0.611,0.644,47.26,3.57,8536700,7101,53,70,1
Bahrain,589,-0.965909421,-0.493476391,0.4516038,0.712015808,0.42974022,0.179316193,0.782,0.757,0.611,0.644,47.26,3.57,1234571,23965,89,76,1
Bangladesh,3199,-0.268090695,-1.425789475,-0.752631783,-0.85759306,-0.801013291,-1.054080248,0.557,0.767,0.432,0.52,62.12,1.065127,147575433,2883.467,30.462,69.881,1
Barbados,142,1.136577249,1.06063664,1.406175494,0.505651414,1.074538469,1.476755738,0.788,0.757,0.611,0.644,47.26,3.57,273925,15726,31,76,1
Belarus,1452,-1.555072069,-0.094990097,-1.188547492,-1.188309073,-1.072440624,-0.633431315,0.756,0.757,0.611,0.644,47.26,3.57,9469200,12800,74,70,1
Belize,83,0.685301244,0.070427686,-0.261475742,-0.335602492,-0.281174034,-0.023574317,0.706,0.757,0.611,0.644,47.26,3.57,304106,8134,53,75,1
Benin,241,0.314489126,0.261260122,-0.614182591,-0.401749998,-0.673685908,-0.665382147,0.494,0.605,0.4,0.497,88.77,7.269393,9199254,2704.706,43.093,59.318,1
Bhutan,6,-0.416917324,0.742221653,0.596895039,-1.158943653,0.161859259,0.938382149,0.682,0.757,0.611,0.644,47.26,3.57,708427,7259,35,68,1
Bolivia,621,-0.039241143,-0.415407211,-0.502368271,-0.797301412,-1.029790163,-0.458648711,0.667,0.739,0.642,0.626,53.8,2.986403,10048597,6612.803,66.43,68.007,1
Bosnia and Herzegovina,878,-0.082449205,-0.693730175,-0.737868011,-0.119476207,-0.355648875,-0.336401552,0.721,0.862,0.608,0.713,21.68,2.928314,3705478,10938.29,45.558,76.031,1
Botswana,101,0.455533385,0.991209805,0.386874497,0.578393817,0.596930504,1.003351092,0.663,0.619,0.636,0.741,26.69,1.273286,1987106,14126.38,62.412,60.211,1
Brazil,24001,0.571348906,0.013475911,-0.094215512,0.246619865,0.056414437,0.043806359,0.727,0.825,0.619,0.751,28.21,0.0217122,195713637,14873.21,84.335,73.619,1
Brunei Darussalam,335,-0.650570631,1.277547002,0.896480978,1.108142734,0.77304095,0.857778549,0.815,0.757,0.611,0.644,47.26,3.57,393162,71000,78,75,1
Bulgaria,3565,0.531482577,0.36009106,-0.069736719,0.680432558,-0.097061358,-0.237023547,0.788,0.827,0.761,0.776,8.889999,0,7395599,17440.67,72.302,73.5122,1
Burkina Faso,122,-0.252949893,-0.117637143,-0.587244034,-0.208372116,-0.194905058,-0.356885225,0.384,0.571,0.232,0.426,89.93,10.65119,15605211,1716.358,24.633,57.096,1
